epoch,accuracy,loss,val_accuracy,val_loss
0,0.9002729,0.3762844980083008,0.9592487215995789,0.18315666913986206
1,0.9616676,0.13688543310351903,0.9747191071510315,0.08840598911046982
2,0.97279924,0.09535107623423819,0.9802113175392151,0.06882166117429733
3,0.9790743,0.07347966926460482,0.9838588237762451,0.26133373379707336
4,0.9831499,0.06011987255790652,0.9858292937278748,0.004929713439196348
5,0.9856815,0.05022277542892352,0.9854100346565247,0.010135176591575146
6,0.9882848,0.044489713983752836,0.9878416657447815,0.0018527944339439273
7,0.9892813,0.03960409353908385,0.9879255294799805,0.02816164493560791
8,0.98997253,0.036955337070257985,0.9900637269020081,0.004957669880241156
9,0.9911934,0.03392623603103479,0.9907345175743103,0.0005023626144975424
10,0.9920911,0.031411121834794456,0.9906926155090332,0.13810978829860687
11,0.9925759,0.03028520583444251,0.9909861087799072,0.15285582840442657
