epoch,accuracy,loss,val_accuracy,val_loss
0,0.7736986,0.8552068693432986,0.8926428556442261,0.3252575397491455
1,0.8785613,0.42678753394635804,0.9179909229278564,0.1993647962808609
2,0.9085158,0.31762651069703196,0.9351186156272888,0.2967895567417145
3,0.92528546,0.256616828850964,0.9400874972343445,0.5651738047599792
4,0.93737906,0.2144308126658134,0.9481819272041321,0.5945947766304016
5,0.94536304,0.18509608803419164,0.9488803148269653,0.13577811419963837
6,0.9518561,0.1620586766140291,0.9526011943817139,0.047567810863256454
7,0.9570986,0.14419915795036956,0.9546849131584167,0.1840837001800537
8,0.96143633,0.13061293001384314,0.9559099674224854,0.4676295518875122
9,0.9646068,0.1197697535090009,0.9561504125595093,0.07338065654039383
10,0.9680152,0.10784630507908533,0.9560931324958801,0.19729386270046234
11,0.970558,0.10046135044312836,0.9576616883277893,0.7853156924247742
