epoch,accuracy,loss,val_accuracy,val_loss
0,0.81278956,0.6658215118734299,0.9054049849510193,0.3518121540546417
1,0.9294954,0.23213882424841067,0.9667148590087891,0.15708796679973602
2,0.9611134,0.12284488168829731,0.9807426333427429,0.06470177322626114
3,0.975901,0.07432292447540186,0.9873565435409546,0.02725510485470295
4,0.98357815,0.05021195965691805,0.9907404780387878,0.10908196866512299
5,0.9889093,0.0347078284540168,0.9925246834754944,0.0019538032356649637
6,0.9908863,0.027386151287220085,0.9929553866386414,0.013222792185842991
7,0.9930807,0.022234085658308565,0.9941551089286804,0.001810378977097571
8,0.9939571,0.019051565460594666,0.9942166209220886,0.0013316002441570163
9,0.99534756,0.014625355723884022,0.9941551089286804,0.0023379484191536903
10,0.9955321,0.01459828813235511,0.9943088889122009,0.06397838145494461
11,0.99596703,0.01306836745127412,0.9950164556503296,0.007325438782572746
