epoch,accuracy,loss,val_accuracy,val_loss
0,0.6500006,1.2869856443411811,0.8018783330917358,0.8342598676681519
1,0.80316144,0.7001058477924743,0.842199981212616,0.5130569338798523
2,0.84334785,0.5498792871092122,0.8575525879859924,0.4693901836872101
3,0.8667156,0.4567178610319458,0.8622764348983765,0.5079079270362854
4,0.88778394,0.3775532240239758,0.8684625029563904,0.6458059549331665
5,0.9046507,0.3163023728817612,0.8645821809768677,0.33441096544265747
6,0.91874844,0.2608377133970574,0.8685187101364136,0.6810638904571533
7,0.93055874,0.21777470542031102,0.8697559237480164,0.5144437551498413
8,0.94236904,0.18207704637194663,0.8701496124267578,0.6822423934936523
9,0.95026666,0.15581739388862212,0.8680126070976257,0.4138234257698059
10,0.9571169,0.13312628616545474,0.8708244562149048,0.596962034702301
11,0.96169174,0.11966768804113143,0.8727364540100098,0.4722515344619751
